Parsing alignment euarchonta_nt12cp ... ... 
Length alignment: 193708
Number of taxa: 486
Taxon: allenopithecus_nigroviridis | Num gaps: 185272 | Missing taxon?: N | % Missing data: 95.6449914304004
Taxon: macaca_thibetana | Num gaps: 188772 | Missing taxon?: N | % Missing data: 97.4518347203007
Taxon: macaca_tonkeana | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: mandrillus_leucophaeus | Num gaps: 186020 | Missing taxon?: N | % Missing data: 96.0311396534991
Taxon: mandrillus_sphinx | Num gaps: 182630 | Missing taxon?: N | % Missing data: 94.2810828669957
Taxon: megaladapis_edwardsi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: microcebus_arnholdi | Num gaps: 192462 | Missing taxon?: N | % Missing data: 99.3567637887955
Taxon: microcebus_berthae | Num gaps: 191712 | Missing taxon?: N | % Missing data: 98.9695830838169
Taxon: microcebus_bongolavensis | Num gaps: 192456 | Missing taxon?: N | % Missing data: 99.3536663431557
Taxon: microcebus_danfossi | Num gaps: 192460 | Missing taxon?: N | % Missing data: 99.3557313069156
Taxon: microcebus_gerpi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: microcebus_griseorufus | Num gaps: 191516 | Missing taxon?: N | % Missing data: 98.8683998595825
Taxon: microcebus_jollyae | Num gaps: 192456 | Missing taxon?: N | % Missing data: 99.3536663431557
Taxon: microcebus_lehilahytsara | Num gaps: 192204 | Missing taxon?: N | % Missing data: 99.2235736262829
Taxon: microcebus_lokobensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: microcebus_macarthurii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: microcebus_mamiratra | Num gaps: 192470 | Missing taxon?: N | % Missing data: 99.3608937163153
Taxon: microcebus_margotmarshae | Num gaps: 192466 | Missing taxon?: N | % Missing data: 99.3588287525554
Taxon: microcebus_marohita | Num gaps: 193452 | Missing taxon?: N | % Missing data: 99.8678423193673
Taxon: microcebus_mittermeieri | Num gaps: 192204 | Missing taxon?: N | % Missing data: 99.2235736262829
Taxon: microcebus_murinus | Num gaps: 45754 | Missing taxon?: N | % Missing data: 23.6200879674562
Taxon: microcebus_myoxinus | Num gaps: 192212 | Missing taxon?: N | % Missing data: 99.2277035538026
Taxon: microcebus_ravelobensis | Num gaps: 190998 | Missing taxon?: N | % Missing data: 98.6009870526772
Taxon: microcebus_rufus | Num gaps: 192202 | Missing taxon?: N | % Missing data: 99.2225411444029
Taxon: microcebus_sambiranensis | Num gaps: 192210 | Missing taxon?: N | % Missing data: 99.2266710719227
Taxon: microcebus_simmonsi | Num gaps: 191510 | Missing taxon?: N | % Missing data: 98.8653024139426
Taxon: microcebus_tanosi | Num gaps: 193452 | Missing taxon?: N | % Missing data: 99.8678423193673
Taxon: microcebus_tavaratra | Num gaps: 192210 | Missing taxon?: N | % Missing data: 99.2266710719227
Taxon: miopithecus_ogouensis | Num gaps: 191438 | Missing taxon?: N | % Missing data: 98.8281330662647
Taxon: miopithecus_talapoin | Num gaps: 167386 | Missing taxon?: N | % Missing data: 86.4115059780701
Taxon: mirza_coquereli | Num gaps: 192008 | Missing taxon?: N | % Missing data: 99.1223904020484
Taxon: mirza_zaza | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nasalis_larvatus | Num gaps: 178202 | Missing taxon?: N | % Missing data: 91.9951679848019
Taxon: nomascus_annamensis | Num gaps: 188644 | Missing taxon?: N | % Missing data: 97.3857558799843
Taxon: nomascus_concolor | Num gaps: 188106 | Missing taxon?: N | % Missing data: 97.1080182542796
Taxon: nomascus_concolor_furvogaster | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nomascus_concolor_jingdongensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nomascus_concolor_lu | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nomascus_gabriellae | Num gaps: 186394 | Missing taxon?: N | % Missing data: 96.2242137650484
Taxon: nomascus_hainanus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nomascus_leucogenys | Num gaps: 17178 | Missing taxon?: N | % Missing data: 8.86798686683049
Taxon: nomascus_nasutus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nomascus_siki | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nycticebus_bengalensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nycticebus_coucang | Num gaps: 179314 | Missing taxon?: N | % Missing data: 92.5692279100502
Taxon: nycticebus_javanicus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nycticebus_menagensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: nycticebus_pygmaeus | Num gaps: 191506 | Missing taxon?: N | % Missing data: 98.8632374501828
Taxon: otolemur_crassicaudatus | Num gaps: 187700 | Missing taxon?: N | % Missing data: 96.8984244326512
Taxon: otolemur_garnettii | Num gaps: 35456 | Missing taxon?: N | % Missing data: 18.3038387676296
Taxon: otolemur_monteiri_argentatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: otolemur_monteiri_monteiri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: pachylemur_jullyi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: palaeopropithecus_ingens | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: pan_paniscus | Num gaps: 156078 | Missing taxon?: N | % Missing data: 80.5738534288723
Taxon: pan_troglodytes | Num gaps: 14484 | Missing taxon?: N | % Missing data: 7.47723377454726
Taxon: pan_troglodytes_ellioti | Num gaps: 183510 | Missing taxon?: N | % Missing data: 94.7353748941706
Taxon: pan_troglodytes_schweinfurthii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: pan_troglodytes_vellerosus | Num gaps: 193000 | Missing taxon?: N | % Missing data: 99.6345014145002
Taxon: pan_troglodytes_verus | Num gaps: 179904 | Missing taxon?: N | % Missing data: 92.8738100646334
Taxon: papio_anubis | Num gaps: 22928 | Missing taxon?: N | % Missing data: 11.8363722716666
Taxon: papio_cynocephalus | Num gaps: 192622 | Missing taxon?: N | % Missing data: 99.439362339191
Taxon: papio_cynocephalus_ibeanus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: papio_hamadryas | Num gaps: 173186 | Missing taxon?: N | % Missing data: 89.4057034299048
Taxon: papio_kindae | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: papio_papio | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: papio_ursinus | Num gaps: 193242 | Missing taxon?: N | % Missing data: 99.7594317219733
Taxon: perodicticus_potto | Num gaps: 190468 | Missing taxon?: N | % Missing data: 98.3273793544923
Taxon: perodicticus_potto_edwarsi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: perodicticus_potto_ibeanus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: phaner | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_badius | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_badius_temminckii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_foai | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_gordonorum | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_kirkii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_pennantii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_preussi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_rufomitratus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_tephrosceles | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: piliocolobus_tholloni | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: pithecia_irrorata | Num gaps: 190400 | Missing taxon?: N | % Missing data: 98.2922749705743
Taxon: pithecia_monachus | Num gaps: 191276 | Missing taxon?: N | % Missing data: 98.7445020339893
Taxon: pithecia_pithecia | Num gaps: 175832 | Missing taxon?: N | % Missing data: 90.7716769570694
Taxon: pongo_abelii | Num gaps: 20310 | Missing taxon?: N | % Missing data: 10.4848534908212
Taxon: pongo_pygmaeus | Num gaps: 127904 | Missing taxon?: N | % Missing data: 66.0292811861152
Taxon: presbytis_chrysomelas | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_comata_comata | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_comata_fredericae | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_frontata | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_hosei_hosei | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_melalophos | Num gaps: 188332 | Missing taxon?: N | % Missing data: 97.2246887067132
Taxon: presbytis_melalophos_bicolor | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_melalophos_mitrata | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_melalophos_sumatranus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_potenziani_potenziani | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_potenziani_siberu | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_rubicunda_rubicunda | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: presbytis_thomasi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: procolobus_verus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: prolemur_simus | Num gaps: 191974 | Missing taxon?: N | % Missing data: 99.1048382100894
Taxon: propithecus_coquereli | Num gaps: 192190 | Missing taxon?: N | % Missing data: 99.2163462531233
Taxon: propithecus_deckenii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: propithecus_coronatus | Num gaps: 192788 | Missing taxon?: N | % Missing data: 99.5250583352262
Taxon: propithecus_diadema | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: propithecus_edwardsi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: propithecus_perrieri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: propithecus_tattersalli | Num gaps: 192212 | Missing taxon?: N | % Missing data: 99.2277035538026
Taxon: propithecus_verreauxi | Num gaps: 181160 | Missing taxon?: N | % Missing data: 93.5222086852376
Taxon: ptilocercus_lowii | Num gaps: 183816 | Missing taxon?: N | % Missing data: 94.8933446218019
Taxon: pygathrix_cinerea | Num gaps: 192974 | Missing taxon?: N | % Missing data: 99.6210791500609
Taxon: pygathrix_cinerea_1_rl_2012 | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: pygathrix_cinerea_2_rl_2012 | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: pygathrix_nemaeus | Num gaps: 181094 | Missing taxon?: N | % Missing data: 93.4881367831995
Taxon: pygathrix_nigripes | Num gaps: 188644 | Missing taxon?: N | % Missing data: 97.3857558799843
Taxon: rhinopithecus_avunculus | Num gaps: 191592 | Missing taxon?: N | % Missing data: 98.9076341710203
Taxon: rhinopithecus_bieti | Num gaps: 185114 | Missing taxon?: N | % Missing data: 95.5634253618849
Taxon: rhinopithecus_bieti_1_rl_2012 | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinopithecus_bieti_2_rl_2012 | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: rhinopithecus_brelichi | Num gaps: 188644 | Missing taxon?: N | % Missing data: 97.3857558799843
Taxon: rhinopithecus_roxellana | Num gaps: 184948 | Missing taxon?: N | % Missing data: 95.4777293658496
Taxon: rhinopithecus_strykeri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: rungwecebus_kipunji | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_bicolor | Num gaps: 192246 | Missing taxon?: N | % Missing data: 99.2452557457617
Taxon: saguinus_cruzlimai | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_fuscicollis_fuscicollis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_fuscicollis_illigeri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_fuscicollis_lagonotus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_fuscicollis_leucogenys | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_fuscicollis_nigrifrons | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_fuscicollis_weddelli | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_geoffroyi | Num gaps: 190612 | Missing taxon?: N | % Missing data: 98.4017180498482
Taxon: saguinus_graellsi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_imperator | Num gaps: 191324 | Missing taxon?: N | % Missing data: 98.7692815991079
Taxon: saguinus_labiatus | Num gaps: 181820 | Missing taxon?: N | % Missing data: 93.8629277056188
Taxon: saguinus_leucopus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_martinsi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_melanoleucus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_midas | Num gaps: 186670 | Missing taxon?: N | % Missing data: 96.3666962644806
Taxon: saguinus_mystax | Num gaps: 192814 | Missing taxon?: N | % Missing data: 99.5384805996655
Taxon: saguinus_niger | Num gaps: 193144 | Missing taxon?: N | % Missing data: 99.7088401098561
Taxon: saguinus_nigricollis_nigricollis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saguinus_oedipus | Num gaps: 175782 | Missing taxon?: N | % Missing data: 90.7458649100708
Taxon: saguinus_tripartitus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_boliviensis | Num gaps: 177550 | Missing taxon?: N | % Missing data: 91.6585788919405
Taxon: saimiri_boliviensis_peruviensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_oerstedii_citrinellus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_oerstedii_oerstedii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_sciureus_albigena | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_sciureus_cassiquiarensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_sciureus_collinsi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_sciureus_macrodon | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: saimiri_sciureus_sciureus | Num gaps: 192930 | Missing taxon?: N | % Missing data: 99.5983645487022
Taxon: saimiri_ustus | Num gaps: 193036 | Missing taxon?: N | % Missing data: 99.6530860883392
Taxon: saimiri_vanzolinii | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: sapajus_apella | Num gaps: 181624 | Missing taxon?: N | % Missing data: 93.7617444813844
Taxon: sapajus_macrocephalus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: sapajus_cay | Num gaps: 192988 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: sapajus_flavius | Num gaps: 192988 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: sapajus_libidinosus | Num gaps: 193016 | Missing taxon?: N | % Missing data: 99.6427612695397
Taxon: sapajus_nigritus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: sapajus_robustus | Num gaps: 192714 | Missing taxon?: N | % Missing data: 99.4868565056683
Taxon: sapajus_xanthosternos | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: semnopithecus_entellus | Num gaps: 183262 | Missing taxon?: N | % Missing data: 94.6073471410577
Taxon: simias_concolor | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: symphalangus_syndactylus | Num gaps: 151926 | Missing taxon?: N | % Missing data: 78.4304210461106
Taxon: tarsius_bancanus | Num gaps: 188324 | Missing taxon?: N | % Missing data: 97.2205587791934
Taxon: tarsius_dentatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tarsius_lariang | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tarsius_sangirensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tarsius_syrichta | Num gaps: 68074 | Missing taxon?: N | % Missing data: 35.1425857476201
Taxon: tarsius_tarsier | Num gaps: 192908 | Missing taxon?: N | % Missing data: 99.5870072480228
Taxon: tarsius_wallacei | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: theropithecus_gelada | Num gaps: 182256 | Missing taxon?: N | % Missing data: 94.0880087554463
Taxon: trachypithecus_auratus | Num gaps: 192098 | Missing taxon?: N | % Missing data: 99.1688520866459
Taxon: trachypithecus_cristatus | Num gaps: 189552 | Missing taxon?: N | % Missing data: 97.8545026534784
Taxon: trachypithecus_delacouri | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_francoisi | Num gaps: 155812 | Missing taxon?: N | % Missing data: 80.4365333388399
Taxon: trachypithecus_geei | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_germaini | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_hatinhensis | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_johnii | Num gaps: 192702 | Missing taxon?: N | % Missing data: 99.4806616143887
Taxon: trachypithecus_obscurus | Num gaps: 188578 | Missing taxon?: N | % Missing data: 97.3516839779462
Taxon: trachypithecus_phayrei | Num gaps: 190134 | Missing taxon?: N | % Missing data: 98.1549548805419
Taxon: trachypithecus_phayrei_crepuscula | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_phayrei_holotephreus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_phayrei_shanicus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_pileatus | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_poliocephalus | Num gaps: 192932 | Missing taxon?: N | % Missing data: 99.5993970305821
Taxon: trachypithecus_shortridgei | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: trachypithecus_vetulus | Num gaps: 187586 | Missing taxon?: N | % Missing data: 96.8395729654945
Taxon: tupaia_belangeri | Num gaps: 58940 | Missing taxon?: N | % Missing data: 30.4272410019204
Taxon: tupaia_chinensis | Num gaps: 190748 | Missing taxon?: N | % Missing data: 98.4719268176843
Taxon: tupaia_chrysogaster | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tupaia_dorsalis | Num gaps: 192744 | Missing taxon?: N | % Missing data: 99.5023437338675
Taxon: tupaia_glis | Num gaps: 185208 | Missing taxon?: N | % Missing data: 95.6119520102422
Taxon: tupaia_gracilis | Num gaps: 192750 | Missing taxon?: N | % Missing data: 99.5054411795073
Taxon: tupaia_javanica | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tupaia_longipes | Num gaps: 192758 | Missing taxon?: N | % Missing data: 99.5095711070271
Taxon: tupaia_minor | Num gaps: 182738 | Missing taxon?: N | % Missing data: 94.3368368885126
Taxon: tupaia_moellendorffi | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tupaia_montana | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tupaia_nicobarica | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tupaia_palawanensis | Num gaps: 192744 | Missing taxon?: N | % Missing data: 99.5023437338675
Taxon: tupaia_picta | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tupaia_salatana | Num gaps: 193708 | Missing taxon?: Y | % Missing data: 100
Taxon: tupaia_splendidula | Num gaps: 192746 | Missing taxon?: N | % Missing data: 99.5033762157474
Taxon: tupaia_tana | Num gaps: 188750 | Missing taxon?: N | % Missing data: 97.4404774196213
Taxon: urogale_everetti | Num gaps: 192332 | Missing taxon?: N | % Missing data: 99.2896524665992
Taxon: varecia_rubra | Num gaps: 189932 | Missing taxon?: N | % Missing data: 98.0506742106676
Taxon: varecia_variegata_variegata | Num gaps: 190482 | Missing taxon?: N | % Missing data: 98.3346067276519
Taxon: ornithorhynchus_anatinus | Num gaps: 89012 | Missing taxon?: N | % Missing data: 45.9516385487435
Taxon: zaglossus_bruijni | Num gaps: 192920 | Missing taxon?: N | % Missing data: 99.5932021393024
Taxon: tachyglossus_aculeatus | Num gaps: 185658 | Missing taxon?: N | % Missing data: 95.8442604332294

Number of missing taxa = 233
Number of present taxa = 253
Total number of taxa = 486

Eq: num_gaps / ( num_taxa * len_aln ) --> (45133964+45258742)/((233+253)*193708)
Avg missing data before removing missing taxa = 0.960173158683287 = 96.0173158683287%
Eq: num_gaps / ( num_taxa * len_aln ) --> 45258742/(253*193708)
Avg missing data after removing missing taxa = 0.923494684269082 = 92.3494684269082%

