Parsing alignment marsupialia_mt3cp ... ... 
Length alignment: 3639
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 975 | Missing taxon?: N | % Missing data: 26.7930750206101
Taxon: sminthopsis_virginiae_nitela | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_virginiae_rufigenis | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: sminthopsis_youngsoni | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: spilocuscus_maculatus | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: spilocuscus_rufoniger | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: strigocuscus_celebensis | Num gaps: 303 | Missing taxon?: N | % Missing data: 8.32646331409728
Taxon: strigocuscus_pelengensis | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: tarsipes_rostratus | Num gaps: 42 | Missing taxon?: N | % Missing data: 1.15416323165705
Taxon: thylamys_elegans | Num gaps: 38 | Missing taxon?: N | % Missing data: 1.04424292388019
Taxon: thylamys_karimii | Num gaps: 2682 | Missing taxon?: N | % Missing data: 73.7015663643858
Taxon: thylamys_macrura | Num gaps: 2682 | Missing taxon?: N | % Missing data: 73.7015663643858
Taxon: thylamys_pallidior | Num gaps: 2682 | Missing taxon?: N | % Missing data: 73.7015663643858
Taxon: thylamys_pulchellus | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: thylamys_pusillus | Num gaps: 2682 | Missing taxon?: N | % Missing data: 73.7015663643858
Taxon: thylamys_sponsorius | Num gaps: 2682 | Missing taxon?: N | % Missing data: 73.7015663643858
Taxon: thylamys_tatei | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: thylamys_velutinus | Num gaps: 3029 | Missing taxon?: N | % Missing data: 83.2371530640286
Taxon: thylamys_venustus | Num gaps: 2682 | Missing taxon?: N | % Missing data: 73.7015663643858
Taxon: thylogale_billardierii | Num gaps: 305 | Missing taxon?: N | % Missing data: 8.38142346798571
Taxon: thylogale_browni | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: thylogale_brunii | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: thylogale_calabyi | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: thylogale_stigmatica | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: thylogale_stigmatica_oriomo | Num gaps: 3258 | Missing taxon?: N | % Missing data: 89.5300906842539
Taxon: thylogale_stigmatica_wilcoxi | Num gaps: 3263 | Missing taxon?: N | % Missing data: 89.667491068975
Taxon: thylogale_thetis | Num gaps: 2820 | Missing taxon?: N | % Missing data: 77.4938169826875
Taxon: tlacuatzin_canescens | Num gaps: 3257 | Missing taxon?: N | % Missing data: 89.5026106073097
Taxon: trichosurus_arnhemensis | Num gaps: 3293 | Missing taxon?: N | % Missing data: 90.4918933773015
Taxon: trichosurus_caninus | Num gaps: 300 | Missing taxon?: N | % Missing data: 8.24402308326463
Taxon: trichosurus_johnstonii | Num gaps: 3639 | Missing taxon?: Y | % Missing data: 100
Taxon: trichosurus_vulpecula | Num gaps: 34 | Missing taxon?: N | % Missing data: 0.934322616103325
Taxon: vombatus_ursinus | Num gaps: 37 | Missing taxon?: N | % Missing data: 1.01676284693597
Taxon: wallabia_bicolor | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: wyulda_squamicaudata | Num gaps: 304 | Missing taxon?: N | % Missing data: 8.3539433910415
Taxon: ornithorhynchus_anatinus | Num gaps: 40 | Missing taxon?: N | % Missing data: 1.09920307776862
Taxon: zaglossus_bruijni | Num gaps: 40 | Missing taxon?: N | % Missing data: 1.09920307776862
Taxon: tachyglossus_aculeatus | Num gaps: 40 | Missing taxon?: N | % Missing data: 1.09920307776862

Number of missing taxa = 47
Number of present taxa = 260
Total number of taxa = 307

Eq: num_gaps / ( num_taxa * len_aln ) --> (171033+516224)/((47+260)*3639)
Avg missing data before removing missing taxa = 0.615175089265494 = 61.5175089265494%
Eq: num_gaps / ( num_taxa * len_aln ) --> 516224/(260*3639)
Avg missing data after removing missing taxa = 0.54561058617118 = 54.561058617118%

