Parsing alignment marsupialia_nt12cp ... ... 
Length alignment: 171898
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 160430 | Missing taxon?: N | % Missing data: 93.3286018452803
Taxon: sminthopsis_virginiae | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: sminthopsis_virginiae_nitela | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_virginiae_rufigenis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: sminthopsis_youngsoni | Num gaps: 171188 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: spilocuscus_maculatus | Num gaps: 168870 | Missing taxon?: N | % Missing data: 98.2384902674842
Taxon: spilocuscus_rufoniger | Num gaps: 168842 | Missing taxon?: N | % Missing data: 98.2222015381214
Taxon: strigocuscus_celebensis | Num gaps: 168784 | Missing taxon?: N | % Missing data: 98.1884605987271
Taxon: strigocuscus_pelengensis | Num gaps: 168874 | Missing taxon?: N | % Missing data: 98.2408172288217
Taxon: tarsipes_rostratus | Num gaps: 161810 | Missing taxon?: N | % Missing data: 94.1314035067307
Taxon: thylamys_elegans | Num gaps: 170560 | Missing taxon?: N | % Missing data: 99.2216314325938
Taxon: thylamys_karimii | Num gaps: 171264 | Missing taxon?: N | % Missing data: 99.6311766280003
Taxon: thylamys_macrura | Num gaps: 166496 | Missing taxon?: N | % Missing data: 96.8574387136558
Taxon: thylamys_pallidior | Num gaps: 166568 | Missing taxon?: N | % Missing data: 96.8993240177314
Taxon: thylamys_pulchellus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: thylamys_pusillus | Num gaps: 166810 | Missing taxon?: N | % Missing data: 97.0401051786525
Taxon: thylamys_sponsorius | Num gaps: 171252 | Missing taxon?: N | % Missing data: 99.6241957439877
Taxon: thylamys_tatei | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: thylamys_velutinus | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: thylamys_venustus | Num gaps: 166524 | Missing taxon?: N | % Missing data: 96.8737274430185
Taxon: thylogale_billardierii | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: thylogale_browni | Num gaps: 171202 | Missing taxon?: N | % Missing data: 99.5951087272685
Taxon: thylogale_brunii | Num gaps: 169924 | Missing taxon?: N | % Missing data: 98.8516445799253
Taxon: thylogale_calabyi | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: thylogale_stigmatica | Num gaps: 168768 | Missing taxon?: N | % Missing data: 98.179152753377
Taxon: thylogale_stigmatica_oriomo | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: thylogale_stigmatica_wilcoxi | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: thylogale_thetis | Num gaps: 171212 | Missing taxon?: N | % Missing data: 99.6009261306123
Taxon: tlacuatzin_canescens | Num gaps: 166672 | Missing taxon?: N | % Missing data: 96.9598250125074
Taxon: trichosurus_arnhemensis | Num gaps: 171898 | Missing taxon?: Y | % Missing data: 100
Taxon: trichosurus_caninus | Num gaps: 168840 | Missing taxon?: N | % Missing data: 98.2210380574527
Taxon: trichosurus_johnstonii | Num gaps: 168788 | Missing taxon?: N | % Missing data: 98.1907875600647
Taxon: trichosurus_vulpecula | Num gaps: 155282 | Missing taxon?: N | % Missing data: 90.3338026038697
Taxon: vombatus_ursinus | Num gaps: 159018 | Missing taxon?: N | % Missing data: 92.5071844931296
Taxon: wallabia_bicolor | Num gaps: 168768 | Missing taxon?: N | % Missing data: 98.179152753377
Taxon: wyulda_squamicaudata | Num gaps: 168764 | Missing taxon?: N | % Missing data: 98.1768257920395
Taxon: ornithorhynchus_anatinus | Num gaps: 74660 | Missing taxon?: N | % Missing data: 43.4327333651351
Taxon: zaglossus_bruijni | Num gaps: 171110 | Missing taxon?: N | % Missing data: 99.5415886165051
Taxon: tachyglossus_aculeatus | Num gaps: 163986 | Missing taxon?: N | % Missing data: 95.3972704743511

Number of missing taxa = 58
Number of present taxa = 249
Total number of taxa = 307

Eq: num_gaps / ( num_taxa * len_aln ) --> (9970084+41427572)/((58+249)*171898)
Avg missing data before removing missing taxa = 0.973944286254446 = 97.3944286254446%
Eq: num_gaps / ( num_taxa * len_aln ) --> 41427572/(249*171898)
Avg missing data after removing missing taxa = 0.967875083855883 = 96.7875083855883%

